"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",18,2011,9639.619012190335,3388442.534718881
"USA",19,2011,91872.20925639331,41211140.20455301
"USA",20,2011,28155.209396927436,8655185.344007831
"USA",21,2011,1705.1305233845103,657797.4205629501
"USA",22,2011,1874.532258821683,736245.5752943353
"USA",23,2011,19104.547300102364,4945084.942947321
"USA",24,2011,31714.80021745617,6803570.87412813
"USA",25,2011,107595.33306730051,44202442.389906585
"USA",26,2011,12559.03796495447,3702090.7291815863
"USA",27,2011,22705.406449388396,7620851.306245535
"USA",28,2011,341.2803879815629,77638.4612098552
"USA",29,2011,845.1971751514628,335226.84525739576
"USA",30,2011,4517.984230244552,1730541.0261674332
"USA",31,2011,575.2341633306211,176926.26292242671
"USA",32,2011,25346.611587565883,4864938.390537351
"USA",33,2011,4084.3952070609153,1423352.5271606604
"USA",34,2011,85770.52062916881,36598611.09516815
"USA",35,2011,214.514931561753,43601.58057389356
"USA",36,2011,5992.909769875041,2098949.903949585
"USA",37,2011,21164.54132976258,7004736.493274588
"USA",38,2011,67000.2589989217,67446817.81835373
"USA",39,2011,11931.342492280632,4143337.579329821
"USA",40,2011,65.31283245598648,23482.92737010276
"USA",41,2011,72092.60644123053,31748799.770807177
"USA",42,2011,2798.334661879022,961458.5302494332
"USA",43,2011,24993.50604163213,8709527.220755417
"USA",44,2011,127434.16509754703,46676141.808076836
"USA",45,2011,19556.561293214592,5823799.273226176
"USA",46,2011,1728.5313437170444,615166.4526501403
"USA",47,2011,49287.60025410055,20257227.39253257
"USA",48,2011,50474.06126628204,40510446.420711584
"USA",49,2011,7686.024677091714,2875230.961740395
"USA",50,2011,17324.541825384116,4316234.310631095
"USA",51,2011,24445.234659364185,8399497.416832317
"USA",1,2012,160558.64050660993,68171073.02776322
"USA",2,2012,55412.19726862768,8429608.424022825
"USA",3,2012,5318.868939476286,1210954.1429511278
"USA",4,2012,93305.8917412099,39778658.10070848
"USA",5,2012,61049.80340371541,40159331.38746854
"USA",6,2012,28062.66442335995,6556486.294248722
"USA",7,2012,775.1449596475518,293661.8751375076
"USA",8,2012,682.7492846986281,274115.07753285684
"USA",9,2012,10.71104726323653,3086.043575253804
"USA",10,2012,115149.80548584982,42363570.48767398
"USA",11,2012,194741.02856203562,81414181.91993497
"USA",12,2012,899.3728033419103,401472.9624536613
"USA",13,2012,97776.33176921034,27146839.363299135
"USA",14,2012,1421.8503696899602,415654.02398272435
"USA",15,2012,1945.8133495128423,638668.1760389514
"USA",16,2012,628.1290220552311,157142.65678067692
"USA",17,2012,619.5797848681881,130373.96860853721
"USA",18,2012,13030.986760235373,4617623.932747561
"USA",19,2012,98515.16171180156,45767052.09601069
"USA",20,2012,47913.838156860395,14636353.80758362
"USA",21,2012,2367.1388480563432,944100.9632205085
"USA",22,2012,1963.6334225780388,774979.8319849723
"USA",23,2012,34979.588848939144,8490112.712622995
"USA",24,2012,59529.32038305451,9816703.132491725
"USA",25,2012,122819.3788606386,51125450.764026485
"USA",26,2012,18592.968726341136,5195758.287991072
"USA",27,2012,41075.3662033911,13116375.904166624
"USA",28,2012,1208.1286866875937,213922.03258946844
"USA",29,2012,812.9618501753232,133385.9050346672
"USA",30,2012,7225.175882922792,2800770.4807074126
"USA",31,2012,1404.6522968911056,437740.3157346481
"USA",32,2012,27002.967562143596,6137460.753479137
"USA",33,2012,8365.761697467738,2752108.6527228514
"USA",34,2012,91923.52804270065,39831640.14557979
"USA",35,2012,473.2423340653059,94412.29676971654
"USA",36,2012,8444.74627839237,2977240.3664089865
"USA",37,2012,25817.71487809225,8483768.085831394
"USA",38,2012,78084.60407160885,75024641.20106444
"USA",39,2012,12757.890911121296,4490269.891944818
"USA",40,2012,243.66421556902782,84953.44133515978
"USA",41,2012,86494.97203115381,38940968.64051986
"USA",42,2012,1740.6004395994485,527504.0968355056
"USA",43,2012,28502.158904003445,9975830.639682105
"USA",44,2012,124490.086703267,44792229.45925968
"USA",45,2012,10423.532541082583,1988238.369661821
"USA",46,2012,2937.3789656289514,1049880.750747445
"USA",47,2012,56259.71162926008,23373409.634491976
"USA",48,2012,75201.89277481187,52553024.90383554
"USA",49,2012,11852.51127479941,4493898.508690228
"USA",50,2012,20835.423517594467,5327713.510400036
"USA",51,2012,22445.077133286708,4616629.671264194
"USA",1,2013,130750.50909563056,60814846.88686043
"USA",2,2013,214283.3924049475,24353489.288794313
"USA",3,2013,3204.463094582631,895697.7952899915
"USA",4,2013,78250.97979579796,36786423.77169484
"USA",5,2013,52022.780393027875,31031075.377609774
"USA",6,2013,22457.443042322266,5551203.559509124
"USA",7,2013,586.4039485681185,215631.88898332027
"USA",8,2013,433.68269702953285,177066.82776068055
"USA",10,2013,85146.72673044342,32412874.2270917
"USA",11,2013,148510.23273679777,68692451.96414676
"USA",12,2013,435.4399683187803,190033.63441957498
"USA",13,2013,80825.48638379313,23455433.57284789
"USA",14,2013,2418.5190998518033,583666.0956474538
"USA",15,2013,2304.4459766953773,692631.7534544447
"USA",16,2013,982.3391249894332,212541.85374834348
"USA",17,2013,1498.5947221379201,289575.1763194623
"USA",18,2013,8063.305740827001,2665339.84610867
"USA",19,2013,82065.72363740401,43667093.595196694
"USA",20,2013,40365.96511122772,12140960.357021695
"USA",21,2013,1714.6727013409381,670962.2793145623
"USA",22,2013,1332.5526256198677,498378.0355330974
"USA",23,2013,24471.19062060088,6237966.672866439
"USA",24,2013,24860.34462854107,5370409.920972159
"USA",25,2013,105312.16857626967,47394963.89882325
"USA",26,2013,12112.351419221883,3439276.4531442807
"USA",27,2013,28163.44143468347,8364494.156083178
"USA",28,2013,3551.664624691525,604140.5241343324
"USA",29,2013,4262.391852182942,621305.9993186373
"USA",30,2013,7421.070698391132,2745658.302532601
"USA",31,2013,1053.715256771668,340680.0050699168
"USA",32,2013,18612.019780546067,4267256.087220618
"USA",33,2013,5187.0071914187465,1696629.5547586796
"USA",34,2013,82149.11155150017,36244631.70972576
